id,date,catalogDate,year,x,mission,vehicle,variant,booster,boosterFlight,turnaroundDays,previousDate,pad,launchCode,source
2017-017,2017-03-30T22:27:00Z,2017 Mar 30 2227,2017,2017.243658675799,SES-10,Falcon 9,FT3,B1021,2,356.0719,2016-04-08T20:43:31Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2017-038,2017-06-23T19:10:00Z,2017 Jun 23 1910,2017,2017.4761605783865,BulgariaSat-1,Falcon 9,FT3,B1029,2,160.0523,2017-01-14T17:54:39Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2017-063,2017-10-11T22:53:00Z,2017 Oct 11 2253,2017,2017.777954718417,SES-11/Echostar-105,Falcon 9,FT3/4,B1031,2,234.3431,2017-02-19T14:39:00Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2017-080,2017-12-15T15:36:09Z,2017 Dec 15 1536:09,2017,2017.9552057648402,Dragon C108.2,Falcon 9,FT3/4,B1035,2,194.7698,2017-06-03T21:07:38Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2017-083,2017-12-23T01:27:34Z,2017 Dec 23 0127:34,2017,2017.9755090690005,Iridium Next SV31-40,Falcon 9,FT3/4,B1036,2,180.21,2017-06-25T20:25:14Z,VS / SLC4E,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2018-013,2018-01-31T21:25:00Z,2018 Jan 31 2125,2018,2018.0846366057838,GovSat-1,Falcon 9,FT3/4,B1032,2,275.4236,2017-05-01T11:15:00Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2018-020,2018-02-22T14:17:00Z,2018 Feb 22 1417,2018,2018.1440962709285,Tintin Prototypes,Falcon 9,FT3/4,B1038,2,181.8097,2017-08-24T18:51:00Z,VS / SLC4E,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2018-030,2018-03-30T14:13:51Z,2018 Mar 30 1413:51,2018,2018.242720414764,Iridium Next SV41-50,Falcon 9,FT4,B1041,2,172.0672,2017-10-09T12:37:01Z,VS / SLC4E,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2018-032,2018-04-02T20:30:38Z,2018 Apr  2 2030:38,2018,2018.2516564561136,Dragon C110.2,Falcon 9,FT4,B1039,2,231.166,2017-08-14T16:31:37Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2018-047,2018-05-22T19:47:58Z,2018 May 22 1947:58,2018,2018.388561580416,Iridium-6/GRACE-FO,Falcon 9,FT4,B1043,2,134.7833,2018-01-08T01:00:00Z,VS / SLC4E,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2018-049,2018-06-04T04:45:00Z,2018 Jun  4 0445,2018,2018.422460045662,SES-12,Falcon 9,FT4/5,B1040,2,269.6146,2017-09-07T14:00:00Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2018-055,2018-06-29T09:42:42Z,2018 Jun 29 0942:42,2018,2018.4915195966514,Dragon C111.2,Falcon 9,FT4/5,B1045,2,71.4522,2018-04-18T22:51:30Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2018-064,2018-08-07T05:18:00Z,2018 Aug  7 0518,2018,2018.5978652968035,Telkom 4,Falcon 9,FT5,B1046,2,87.3778,2018-05-11T20:14:00Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2018-076,2018-10-08T02:21:28Z,2018 Oct  8 0221:28,2018,2018.7673924403855,SAOCOM-1A,Falcon 9,FT5,B1048,2,74.6125,2018-07-25T11:39:26Z,VS / SLC4E,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2018-090,2018-11-15T20:46:00Z,2018 Nov 15 2046,2018,2018.873603500761,Es'hail 2,Falcon 9,FT5,B1047,2,116.6222,2018-07-22T05:50:00Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2018-099,2018-12-03T18:34:05Z,2018 Dec  3 1834:05,2018,2018.9226675862506,SSO-A,Falcon 9,FT5,B1046,3,118.5528,2018-08-07T05:18:00Z,VS / SLC4E,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2019-002,2019-01-11T15:31:33Z,2019 Jan 11 1531:33,2019,2019.0291696156773,Iridium-8,Falcon 9,FT5,B1049,2,123.449,2018-09-10T04:45:00Z,VS / SLC4E,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2019-009,2019-02-22T01:45:00Z,2019 Feb 22 0145,2019,2019.1426655251141,PSN 6/Beresheet,Falcon 9,FT5,B1048,3,136.9747,2018-10-08T02:21:28Z,CC / LC40,DS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2019-029,2019-05-24T02:30:00Z,2019 May 24 0230,2019,2019.3920662100456,Starlink V0.9,Falcon 9,FT5,B1049,3,132.4573,2019-01-11T15:31:33Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2019-033,2019-06-12T14:17:00Z,2019 Jun 12 1417,2019,2019.445466133942,Radarsat Const. Mission,Falcon 9,FT5,B1051,2,102.2694,2019-03-02T07:49:00Z,VS / SLC4E,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2019-044,2019-07-25T22:01:56Z,2019 Jul 25 2201:56,2019,2019.5641589294773,Dragon C108.3,Falcon 9,FT5,B1056,2,82.634,2019-05-04T06:48:58Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2019-050,2019-08-06T23:23:00Z,2019 Aug  6 2323:00,2019,2019.5971898782343,AMOS 17,Falcon 9,FT5,B1047,3,264.109,2018-11-15T20:46:00Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2019-074,2019-11-11T14:56:00Z,2019 Nov 11 1456,2019,2019.8619786910199,Starlink V1.0-L1,Falcon 9,FT5,B1048,4,262.5493,2019-02-22T01:45:00Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2019-091,2019-12-17T00:10:00Z,2019 Dec 17 0010,2019,2019.9589231354641,JCSAT-18-Kacific-1,Falcon 9,FT5,B1056,3,144.0889,2019-07-25T22:01:56Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2020-001,2020-01-07T02:19:21Z,2020 Jan  7 0219:21,2020,2020.016657843807,Starlink V1.0-L2,Falcon 9,FT5,B1049,4,227.9926,2019-05-24T02:30:00Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2020-A04,2020-01-19T15:30:00Z,2020 Jan 19 1530:00,2020,2020.0509448998178,Dragon C205,Falcon 9,FT5,B1046,4,411.8722,2018-12-03T18:34:05Z,KSC / LC39A,AS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2020-006,2020-01-29T14:06:00Z,2020 Jan 29 1406,2020,2020.0781079234973,Starlink V1.0-L3,Falcon 9,FT5,B1051,3,230.9924,2019-06-12T14:17:00Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2020-012,2020-02-17T15:05:55Z,2020 Feb 17 1505:55,2020,2020.130134177039,Starlink V1.0-L4,Falcon 9,FT5,B1056,4,62.6222,2019-12-17T00:10:00Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2020-016,2020-03-07T04:50:31Z,2020 Mar  7 0450:31,2020,2020.180879092036,Dragon C112.3,Falcon 9,FT5,B1059,2,92.473,2019-12-05T17:29:24Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2020-019,2020-03-18T12:16:39Z,2020 Mar 18 1216:39,2020,2020.21178022541,Starlink V1.0-L5,Falcon 9,FT5,B1048,5,127.8893,2019-11-11T14:56:00Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2020-025,2020-04-22T19:30:00Z,2020 Apr 22 1930,2020,2020.308230874317,Starlink V1.0-L6,Falcon 9,FT5,B1051,4,84.225,2020-01-29T14:06:00Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2020-035,2020-06-04T01:25:33Z,2020 Jun  4 0125:33,2020,2020.423659589405,Starlink V1.0-L7,Falcon 9,FT5,B1049,5,148.9626,2020-01-07T02:19:21Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2020-038,2020-06-13T09:21:18Z,2020 Jun 13 0921:18,2020,2020.4491524362477,Starlink V1.0-L8/SkySat,Falcon 9,FT5,B1059,3,98.188,2020-03-07T04:50:31Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2020-048,2020-07-20T21:30:00Z,2020 Jul 20 2130,2020,2020.5516279599271,ANASIS-2,Falcon 9,FT5,B1058,2,51.0884,2020-05-30T19:22:45Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2020-055,2020-08-07T05:12:05Z,2020 Aug  7 0512:05,2020,2020.5989527992815,Starlink V1.0-L9/BSky,Falcon 9,FT5,B1051,5,106.4042,2020-04-22T19:30:00Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2020-057,2020-08-18T14:31:00Z,2020 Aug 18 1431:00,2020,2020.630067926533,Starlink V1.0-L10/SkySat,Falcon 9,FT5,B1049,6,75.5455,2020-06-04T01:25:33Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2020-059,2020-08-30T23:18:00Z,2020 Aug 30 2318:00,2020,2020.6638547358834,SAOCOM-1B,Falcon 9,FT5,B1059,4,78.581,2020-06-13T09:21:18Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2020-062,2020-09-03T12:46:14Z,2020 Sep  3 1246:14,2020,2020.6735849903866,Starlink V1.0-L11,Falcon 9,FT5,B1060,2,64.6913,2020-06-30T20:10:46Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2020-070,2020-10-06T11:29:34Z,2020 Oct  6 1129:34,2020,2020.7636034583081,Starlink V1.0-L12,Falcon 9,FT5,B1058,3,77.583,2020-07-20T21:30:00Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2020-073,2020-10-18T12:25:57Z,2020 Oct 18 1225:57,2020,2020.7964973246812,Starlink V1.0-L13,Falcon 9,FT5,B1051,6,72.3013,2020-08-07T05:12:05Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2020-074,2020-10-24T15:31:34Z,2020 Oct 24 1531:34,2020,2020.8132429543614,Starlink V1.0-L14,Falcon 9,FT5,B1060,3,51.1148,2020-09-03T12:46:14Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2020-088,2020-11-25T02:13:12Z,2020 Nov 25 0213:12,2020,2020.8991598360656,Starlink V1.0-L15,Falcon 9,FT5,B1049,7,98.4876,2020-08-18T14:31:00Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2020-093,2020-12-06T16:17:08Z,2020 Dec  6 1617:08,2020,2020.9308157508601,Dragon C208,Falcon 9,FT5,B1058,4,61.1997,2020-10-06T11:29:34Z,KSC / LC39A,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
2020-096,2020-12-13T17:30:00Z,2020 Dec 13 1730,2020,2020.950079690346,SXM-7,Falcon 9,FT5,B1051,7,56.2111,2020-10-18T12:25:57Z,CC / LC40,OS,https://planet4589.org/space/gcat/data/launch/Falcon9.html
