date,mission,vehicle,id
2023-04-20T13:33:09Z,Starship Flight 1,Starship V1.0,2023-F05
2023-11-18T13:02:53Z,Starship Flight 2,Starship V1.0,2023-F11
2024-03-14T13:25:00Z,Starship Flight 3,Starship V1.0,2024-U01
2024-06-06T12:50:00Z,Starship Flight 4,Starship V1.0,2024-U03
2024-10-13T12:25:00Z,Starship Flight 5,Starship V1.0,2024-U04
2024-11-19T22:00:00Z,Starship Flight 6,Starship V1.0,2024-U06
2025-01-16T22:37:00Z,Starship Flight 7,Starship V2,2025-F01
2025-03-06T23:30:31Z,Starship Flight 8,Starship V2,2025-F03
2025-05-27T23:36:29Z,Starship Flight 9,Starship V2,2025-U02
2025-08-26T23:30:03Z,Starship Flight 10,Starship V2,2025-U03
2025-10-13T23:23:45Z,Starship Flight 11,Starship V2,2025-U04
2026-05-22T22:30:20Z,Starship Flight 12,Starship V3,2026-U02
2026-07-24T22:51:00Z,Starship Flight 13,Starship V3,2026-U04
